time,value
2024-03-16T22:11:51.706652404Z,74
2024-03-16T22:11:52.626787159Z,73
2024-03-16T22:11:53.482890717Z,72
2024-03-16T22:11:54.994957188Z,74
2024-03-16T22:11:56.898977314Z,78
2024-03-16T22:11:57.410944251Z,85
2024-03-16T22:11:57.935002227Z,91
2024-03-16T22:11:58.447102094Z,95
2024-03-16T22:11:58.978944158Z,98
2024-03-16T22:11:59.500903033Z,113
2024-03-16T22:12:00.03517127Z,126
2024-03-16T22:12:00.555122423Z,133
2024-03-16T22:12:01.082882637Z,151
2024-03-16T22:12:01.604797721Z,155
2024-03-16T22:12:02.115205166Z,189
2024-03-16T22:12:02.63085369Z,206
2024-03-16T22:12:03.151098524Z,189
2024-03-16T22:12:03.655192083Z,204
2024-03-16T22:12:04.164775719Z,192
2024-03-16T22:12:04.683174448Z,176
2024-03-16T22:12:05.199015818Z,167
2024-03-16T22:12:05.722780231Z,155
2024-03-16T22:12:06.241039953Z,138
2024-03-16T22:12:07.172687404Z,120
2024-03-16T22:12:07.690826248Z,114
2024-03-16T22:12:08.624772443Z,105
2024-03-16T22:12:09.368839697Z,98
2024-03-16T22:12:10.085219621Z,95
2024-03-16T22:12:10.784920879Z,92
2024-03-16T22:12:11.554901701Z,88
2024-03-16T22:12:12.436811953Z,83
2024-03-16T22:12:13.242966536Z,81
2024-03-16T22:12:13.784939072Z,79
2024-03-16T22:12:15.649099532Z,75
2024-03-16T22:12:16.494844392Z,76
2024-03-16T22:12:17.801745603Z,77
2024-03-16T22:12:18.304830444Z,82
2024-03-16T22:12:19.645133759Z,83
2024-03-16T22:12:20.418908178Z,84
2024-03-16T22:12:21.157226682Z,81
2024-03-16T22:12:21.940959035Z,83
2024-03-16T22:12:22.719409107Z,85
2024-03-16T22:12:23.459156159Z,86
2024-03-16T22:12:25.047118562Z,82
2024-03-16T22:12:25.959031635Z,76
2024-03-16T22:12:26.792957066Z,75
2024-03-16T22:12:27.520943214Z,76
2024-03-16T22:12:28.372949153Z,75
2024-03-16T22:12:29.207075264Z,74
2024-03-16T22:12:32.132810839Z,75
2024-03-16T22:12:32.649226689Z,79
2024-03-16T22:12:33.154916215Z,86
2024-03-16T22:12:33.669725592Z,92
2024-03-16T22:12:34.169045378Z,97
2024-03-16T22:12:34.680870771Z,100
2024-03-16T22:12:35.183912247Z,103
2024-03-16T22:12:35.709877037Z,112
2024-03-16T22:12:36.217069043Z,119
2024-03-16T22:12:36.741044484Z,120
2024-03-16T22:12:37.248895214Z,123
2024-03-16T22:12:37.752937009Z,128
2024-03-16T22:12:38.266996552Z,113
2024-03-16T22:12:38.856850013Z,107
2024-03-16T22:12:39.448986166Z,104
2024-03-16T22:12:39.994981145Z,106
2024-03-16T22:12:40.502087259Z,112
2024-03-16T22:12:41.015138492Z,110
2024-03-16T22:12:41.529632535Z,124
2024-03-16T22:12:42.031219211Z,125
2024-03-16T22:12:42.889101743Z,128
2024-03-16T22:12:43.475163647Z,130
2024-03-16T22:12:44.005284201Z,137
2024-03-16T22:12:44.519385178Z,140
2024-03-16T22:12:45.034927428Z,141
2024-03-16T22:12:45.539307892Z,142
2024-03-16T22:12:46.05908239Z,148
2024-03-16T22:12:46.565116402Z,136
2024-03-16T22:12:47.198916498Z,139
2024-03-16T22:12:47.932734353Z,134
2024-03-16T22:12:48.715084865Z,123
2024-03-16T22:12:49.519031212Z,114
2024-03-16T22:12:50.219226774Z,106
2024-03-16T22:12:50.988975996Z,100
2024-03-16T22:12:51.878837936Z,91
2024-03-16T22:12:52.719098021Z,84
2024-03-16T22:12:53.413028853Z,79
2024-03-16T22:12:54.151148626Z,78
2024-03-16T22:12:55.461195218Z,79
2024-03-16T22:12:55.967043022Z,84
2024-03-16T22:12:56.481052338Z,86
2024-03-16T22:12:57.570986644Z,91
2024-03-16T22:12:58.074909235Z,101
2024-03-16T22:12:58.589232854Z,110
2024-03-16T22:12:59.123230474Z,114
2024-03-16T22:12:59.657643251Z,132
2024-03-16T22:13:00.160978183Z,142
2024-03-16T22:13:00.698893983Z,129
2024-03-16T22:13:01.184932785Z,128
