date,time,value
2024-03-16,21:30:19,80.0
2024-03-16,21:30:19,83.0
2024-03-16,21:30:20,88.0
2024-03-16,21:30:21,92.0
2024-03-16,21:30:21,94.0
2024-03-16,21:30:22,96.0
2024-03-16,21:30:23,100.0
2024-03-16,21:30:23,107.0
2024-03-16,21:30:24,120.0
2024-03-16,21:30:24,138.0
2024-03-16,21:30:25,146.0
2024-03-16,21:30:25,179.0
2024-03-16,21:30:26,200.0
2024-03-16,21:30:26,182.0
2024-03-16,21:30:27,184.0
2024-03-16,21:30:28,181.0
2024-03-16,21:30:28,184.0
2024-03-16,21:30:29,178.0
2024-03-16,21:30:29,179.0
2024-03-16,21:30:30,178.0
2024-03-16,21:30:30,162.0
2024-03-16,21:30:31,153.0
2024-03-16,21:30:31,147.0
2024-03-16,21:30:32,141.0
2024-03-16,21:30:32,140.0
2024-03-16,21:30:33,141.0
2024-03-16,21:30:33,138.0
2024-03-16,21:30:34,145.0
2024-03-16,21:30:34,150.0
2024-03-16,21:30:35,157.0
2024-03-16,21:30:35,176.0
2024-03-16,21:30:36,166.0
2024-03-16,21:30:36,173.0
2024-03-16,21:30:37,165.0
2024-03-16,21:30:37,167.0
2024-03-16,21:30:38,168.0
2024-03-16,21:30:39,147.0
2024-03-16,21:30:40,138.0
2024-03-16,21:30:41,122.0
2024-03-16,21:30:42,107.0
2024-03-16,21:30:42,102.0
2024-03-16,21:30:43,94.0
2024-03-16,21:30:44,89.0
2024-03-16,21:30:45,82.0
2024-03-16,21:30:46,77.0
2024-03-16,21:30:47,72.0
2024-03-16,21:30:48,71.0
2024-03-16,21:30:48,70.0
2024-03-16,21:30:49,72.0
2024-03-16,21:30:50,73.0
2024-03-16,21:30:51,72.0
2024-03-16,21:30:53,71.0
2024-03-16,21:30:53,72.0
2024-03-16,21:30:55,71.0
2024-03-16,21:30:56,73.0
2024-03-16,21:30:57,71.0
2024-03-16,21:30:58,70.0
2024-03-16,21:30:59,71.0
2024-03-16,21:31:00,75.0
2024-03-16,21:31:01,79.0
2024-03-16,21:31:02,81.0
2024-03-16,21:31:03,82.0
2024-03-16,21:31:04,79.0
2024-03-16,21:31:05,78.0
2024-03-16,21:31:06,79.0
2024-03-16,21:31:08,78.0
2024-03-16,21:31:08,76.0
2024-03-16,21:31:09,72.0
2024-03-16,21:31:11,70.0
2024-03-16,21:31:12,73.0
2024-03-16,21:31:13,75.0
2024-03-16,21:31:14,76.0
2024-03-16,21:31:15,75.0
2024-03-16,21:31:16,76.0
2024-03-16,21:31:17,75.0
2024-03-16,21:31:18,74.0
2024-03-16,21:31:19,75.0
2024-03-16,21:31:19,76.0
2024-03-16,21:31:20,77.0
2024-03-16,21:31:21,75.0
2024-03-16,21:31:23,76.0
2024-03-16,21:31:23,75.0
2024-03-16,21:31:25,76.0
2024-03-16,21:31:27,75.0
2024-03-16,21:31:27,74.0
2024-03-16,21:31:28,73.0
2024-03-16,21:31:29,75.0
2024-03-16,21:31:30,76.0
2024-03-16,21:31:32,78.0
2024-03-16,21:31:32,82.0
2024-03-16,21:31:33,87.0
2024-03-16,21:31:33,102.0
2024-03-16,21:31:34,119.0
2024-03-16,21:31:34,130.0
2024-03-16,21:31:35,160.0
2024-03-16,21:31:35,177.0
2024-03-16,21:31:36,182.0
2024-03-16,21:31:37,147.0
2024-03-16,21:31:38,129.0
2024-03-16,21:31:39,116.0
2024-03-16,21:31:40,105.0
2024-03-16,21:31:40,97.0
2024-03-16,21:31:41,92.0
2024-03-16,21:31:42,87.0
2024-03-16,21:31:43,82.0
2024-03-16,21:31:43,78.0
2024-03-16,21:31:44,74.0
2024-03-16,21:31:45,78.0
2024-03-16,21:31:46,79.0
2024-03-16,21:31:47,78.0
2024-03-16,21:31:48,79.0
2024-03-16,21:31:50,77.0
2024-03-16,21:31:50,76.0
2024-03-16,21:31:53,74.0
2024-03-16,21:31:54,73.0
2024-03-16,21:31:55,74.0
2024-03-16,21:31:56,72.0
2024-03-16,21:31:57,70.0
2024-03-16,21:31:58,71.0
2024-03-16,21:32:00,70.0
2024-03-16,21:32:01,71.0
2024-03-16,21:32:02,72.0
2024-03-16,21:32:04,71.0
